LocationID,Locality,District,Longitude,Latitude,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Turdus merula (Linnaeus, 1758)",Turdidae,Turdus,merula,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Turdus pallidus (Gmelin, 1789)",Turdidae,Turdus,pallidus,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Turdus naumanni (Temminck, 1820)",Turdidae,Turdus,naumanni,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Paradoxornis webbianus (Gould, 1852)",Paradoxornithidae,Paradoxornis,webbianus,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Phylloscopus proregulus (Pallas, 1811)",Phylloscopidae,Phylloscopus,proregulus,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Phylloscopus inornatus (Blyth, 1842)",Phylloscopidae,Phylloscopus,inornatus,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Eophona personata (Temminck & Schlegel, 1848)",Fringillidae,Eophona,personata,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Emberiza spodocephala (Pallas, 1776)",Emberizidae,Emberiza,spodocephala,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Tachybaptus ruficollis (Pallas, 1764)",Podicipedidae,Tachybaptus,ruficollis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Mesophoyx intermedia (Wagler, 1829)",Ardeidae,Mesophoyx,intermedia,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Egretta garzetta (Linnaeus, 1766)",Ardeidae,Egretta,garzetta,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Bubulcus ibis (Linnaeus, 1758)",Ardeidae,Bubulcus,ibis,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Ardeola bacchus (Bonaparte, 1855)",Ardeidae,Ardeola,bacchus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Nycticorax nycticorax (Linnaeus, 1758)",Ardeidae,Nycticorax,nycticorax,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Falco subbuteo (Linnaeus, 1758)",Falconidae,Falco,subbuteo,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Phasianus colchicus (Linnaeus, 1758)",Jacanidae,Phasianus,colchicus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Gallinula chloropus (Linnaeus, 1758)",Rallidae,Gallinula,chloropus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Actitis hypoleucos (Linnaeus, 1758)",Scolopacidae,Actitis,hypoleucos,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Streptopelia orientalis (Latham, 1790)",Columbidae,Streptopelia,orientalis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Stigmatopelia chinensis (Scopoli, 1768)",Columbidae,Stigmatopelia,chinensis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Alcedo atthis (Linnaeus, 1758)",Alcedinidae,Alcedo,atthis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Upupa epops (Linnaeus, 1758)",Upupidae,Upupa,epops,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Parus major (Linnaeus, 1758)",Paridae,Parus,major,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Hirundo daurica (Laxmann, 1769)",Laridae,Hirundo,daurica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Motacilla alba (Linnaeus, 1758)",Motacillidae,Motacilla,alba,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Anthus hodgsoni (Richmond, 1907)",Motacillidae,Anthus,hodgsoni,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Lanius schach (Linnaeus, 1758)",Laniidae,Lanius,schach,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Lanius cristatus (Linnaeus, 1758)",Laniidae,Lanius,cristatus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Oriolus chinensis (Linnaeus, 1766)",Oriolidae,Oriolus,chinensis,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Acridotheres cristatellus (Linnaeus, 1758)",Sturnidae,Acridotheres,cristatellus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Sturnus cineraceus (Temminck, 1835)",Sturnidae,Sturnus,cineraceus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Turdus merula (Linnaeus, 1758)",Turdidae,Turdus,merula,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Muscicapa dauurica (Pallas, 1811)",Muscicapidae,Muscicapa,dauurica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Muscicapa sibirica (Gmelin, 1789)",Muscicapidae,Muscicapa,sibirica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Paradoxornis webbianus (Gould, 1852)",Paradoxornithidae,Paradoxornis,webbianus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Cisticola juncidis (Rafinesque, 1810)",Cisticolidae,Cisticola,juncidis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Prinia inornata (Sykes, 1832)",Cisticolidae,Prinia,inornata,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,Songjiang District,121.178900,31.071500,"Zosterops japonicus (Temminck & Schlegel, 1845)",Zosteropidae,Zosterops,japonicus,Species,M,Whole year,240
