LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,GrowthForm,Plant_NativenessStatus,SourceID
39,"East China Normal University, Minhang Campus",Lycoris radiata (L'Hér.) Herb.,Amaryllidaceae,Lycoris,radiata,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Machilus thunbergii Siebold & Zucc.,Lauraceae,Machilus,thunbergii,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Magnolia chapensis (Dandy) Sima,Magnoliaceae,Magnolia,chapensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Magnolia denudata Desr.,Magnoliaceae,Magnolia,denudata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Magnolia denudata 'Fei Huang',Magnoliaceae,Magnolia,denudata,Cultivar,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Magnolia figo (Lour.) DC.,Magnoliaceae,Magnolia,figo,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Magnolia grandiflora L.,Magnoliaceae,Magnolia,grandiflora,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Magnolia liliiflora Desr.,Magnoliaceae,Magnolia,liliiflora,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Magnolia soulangeana Soul.-Bod.,Magnoliaceae,Magnolia,soulangeana,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Mahonia bealei (Fortune) Pynaert,Berberidaceae,Mahonia,bealei,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Mahonia fortunei (Lindl.) Fedde,Berberidaceae,Mahonia,fortunei,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Malus halliana Koehne,Rosaceae,Malus,halliana,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Malus manshurica (Maxim.) Kom. ex Skvortsov,Rosaceae,Malus,manshurica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Malus micromalus Makino,Rosaceae,Malus,micromalus,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Melia azedarach L.,Meliaceae,Melia,azedarach,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Metasequoia glyptostroboides Hu & W.C.Cheng,Cupressaceae,Metasequoia,glyptostroboides,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Morus alba L.,Moraceae,Morus,alba,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Musa basjoo Siebold & Zucc. ex Iinuma,Musaceae,Musa,basjoo,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Myrica rubra (Lour.) Siebold & Zucc.,Myricaceae,Myrica,rubra,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Nandina domestica Thunb.,Berberidaceae,Nandina,domestica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Nelumbo nucifera Gaertn.,Nelumbonaceae,Nelumbo,nucifera,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Neolitsea aurata var. chekiangensis (Nakai) Yen C. Yang & P.H. Huang,Lauraceae,Neolitsea,aurata,Varietas,Tree,Native,48
39,"East China Normal University, Minhang Campus",Nerium oleander L.,Apocynaceae,Nerium,oleander,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Nymphaea alba L.,Nymphaeaceae,Nymphaea,alba,Species,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Olea europaea L.,Oleaceae,Olea,europaea,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Ophiopogon bodinieri H.Lév.,Asparagaceae,Ophiopogon,bodinieri,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Osmanthus fragrans Lour.,Oleaceae,Osmanthus,fragrans,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Osmanthus heterophyllus (G.Don) P.S.Green,Oleaceae,Osmanthus,heterophyllus,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Oxalis debilis var. corymbosa (DC.) Lourteig,Oxalidaceae,Oxalis,debilis,Varietas,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Paeonia suffruticosa Andrews,Paeoniaceae,Paeonia,suffruticosa,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Paulownia fortunei (Seem.) Hemsl.,Paulowniaceae,Paulownia,fortunei,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Phoebe sheareri (Hemsl.) Gamble,Lauraceae,Phoebe,sheareri,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Phoenix canariensis Chabaud,Arecaceae,Phoenix,canariensis,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Photinia bodinieri H.L?v.,Rosaceae,Photinia,bodinieri,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Photinia fraseri Dress,Rosaceae,Photinia,fraseri,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Pinus elliottii Engelm.,Pinaceae,Pinus,elliottii,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Pinus parviflora Siebold & Zucc.,Pinaceae,Pinus,parviflora,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Pinus thunbergii Parl.,Pinaceae,Pinus,thunbergii,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Pittosporum tobira (Thunb.) W.T.Aiton,Pittosporaceae,Pittosporum,tobira,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Platanus acerifolia (Aiton) Willd.,Platanaceae,Platanus,acerifolia,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Platycladus orientalis (L.) Franco,Cupressaceae,Platycladus,orientalis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Podocarpus chinensis Wall. ex J.Forbes,Podocarpaceae,Podocarpus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Podocarpus macrophyllus (Thunb.) Sweet,Podocarpaceae,Podocarpus,macrophyllus,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Prunus armeniaca L.,Rosaceae,Prunus,armeniaca,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Prunus cerasifera f. atropurpurea (Jacq.) Rehd.,Rosaceae,Prunus,cerasifera,Forma,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Prunus conradinae Koehne,Rosaceae,Prunus,conradinae,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Prunus dielsiana (C.K.Schneid.) Koehne,Rosaceae,Prunus,dielsiana,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Prunus japonica Thunb.,Rosaceae,Prunus,japonica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Prunus mume (Siebold) Siebold & Zucc.,Rosaceae,Prunus,mume,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Prunus persica (L.) Batsch,Rosaceae,Prunus,persica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Prunus persica f. atropurpurea Schneid.,Rosaceae,Prunus,persica,Forma,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Prunus serrulata Lindl.,Rosaceae,Prunus,serrulata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Prunus subhirtella Miq.,Rosaceae,Prunus,subhirtella,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Prunus triloba Lindl.,Rosaceae,Prunus,triloba,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Prunus yedoensis Matsum.,Rosaceae,Prunus,yedoensis,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Pseudosasa japonica (Steud.) Makino,Poaceae,Pseudosasa,japonica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Pterocarya stenoptera C. DC.,Juglandaceae,Pterocarya,stenoptera,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Punica granatum L.,Lythraceae,Punica,granatum,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Pyracantha fortuneana (Maxim.) H.L.Li,Rosaceae,Pyracantha,fortuneana,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Pyrus serrulata Rehder,Rosaceae,Pyrus,serrulata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Quercus acutissima Carruth.,Fagaceae,Quercus,acutissima,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Quercus glauca Thunb.,Fagaceae,Quercus,glauca,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Quercus myrsinifolia Blume,Fagaceae,Quercus,myrsinifolia,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Reineckea carnea (Andrews) Kunth,Asparagaceae,Reineckea,carnea,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Rhododendron simsii Planch.,Ericaceae,Rhododendron,simsii,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Rhus chinensis Mill.,Anacardiaceae,Rhus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Robinia decaisneana Verl.,Leguminosae,Robinia,decaisneana,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Robinia pseudoacacia L.,Leguminosae,Robinia,pseudoacacia,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Rosa banksiae R.Br.,Rosaceae,Rosa,banksiae,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Rosa chinensis Jacq.,Rosaceae,Rosa,chinensis,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Rosa multiflora Thunb.,Rosaceae,Rosa,multiflora,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Rosa multiflora var. cathayensis Rehder & E.H.Wilson,Rosaceae,Rosa,multiflora,Varietas,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Salix babylonica L.,Salicaceae,Salix,babylonica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Sapindus mukorossi Gaertn.,Sapindaceae,Sapindus,mukorossi,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Sasa sinica Keng,Poaceae,Sasa,sinica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Senna occidentalis (L.) Link,Leguminosae,Senna,occidentalis,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Serissa japonica (Thunb.) Thunb.,Rubiaceae,Serissa,japonica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Spiraea japonica L.f.,Rosaceae,Spiraea,japonica,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Spiraea thunbergii Siebold ex Blume,Rosaceae,Spiraea,thunbergii,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Spiraea vanhouttei (Briot) Zabel,Rosaceae,Spiraea,vanhouttei,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Styphnolobium japonicum (L.) Schott,Leguminosae,Styphnolobium,japonicum,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Styphnolobium japonicum f. pendula,Leguminosae,Styphnolobium,japonicum,Forma,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Syringa oblata Lindl.,Oleaceae,Syringa,oblata,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Syzygium buxifolium Hook. & Arn.,Myrtaceae,Syzygium,buxifolium,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Taxodium distichum (L.) Rich.,Cupressaceae,Taxodium,distichum,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Taxodium distichum var. imbricatum (Nutt.) Croom,Cupressaceae,Taxodium,distichum,Varietas,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Tetrapanax papyrifer (Hook.) K.Koch,Araliaceae,Tetrapanax,papyrifer,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Toona sinensis (Juss.) M.Roem.,Meliaceae,Toona,sinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Trachycarpus fortunei (Hook.) H.Wendl.,Arecaceae,Trachycarpus,fortunei,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Triadica sebifera (L.) Small,Euphorbiaceae,Triadica,sebifera,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Trifolium repens L.,Leguminosae,Trifolium,repens,Species,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Ulmus parvifolia Jacq.,Ulmaceae,Ulmus,parvifolia,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Ulmus pumila L.,Ulmaceae,Ulmus,pumila,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Viburnum macrocephalum Fortune,Adoxaceae,Viburnum,macrocephalum,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Viburnum odoratissimum var. awabuki (K. Koch) Zabel ex Rümpler,Adoxaceae,Viburnum,odoratissimum,Varietas,Tree,Native,48
39,"East China Normal University, Minhang Campus",Washingtonia robusta H.Wendl.,Arecaceae,Washingtonia,robusta,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Weigela coraeensis Thunb.,Caprifoliaceae,Weigela,coraeensis,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Weigela japonica Thunb.,Caprifoliaceae,Weigela,japonica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Yucca gloriosa L.,Asparagaceae,Yucca,gloriosa,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Zelkova serrata (Thunb.) Makino,Ulmaceae,Zelkova,serrata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Zephyranthes candida (Lindl.) Herb.,Amaryllidaceae,Zephyranthes,candida,Species,Herb,Nonnative,48
42,"Fudan University, Handan Campus",Acer buergerianum Miq.,Sapindaceae,Acer,buergerianum,Species,Tree,Native,115
42,"Fudan University, Handan Campus",Acer palmatum Thunb.,Sapindaceae,Acer,palmatum,Species,Tree,Nonnative,115
42,"Fudan University, Handan Campus",Achyranthes bidentata Blume,Amaranthaceae,Achyranthes,bidentata,Species,Herb,Native,115
42,"Fudan University, Handan Campus",Agapanthus africanus (L.) Hoffmanns.,Amaryllidaceae,Agapanthus,africanus,Species,Herb,Nonnative,115
42,"Fudan University, Handan Campus",Agastache rugosa (Fisch. & C.A.Mey.) Kuntze,Lamiaceae,Agastache,rugosa,Species,Herb,Native,115
